职位,企业名称,地区,薪资,要求
大数据开发工程师,广东伊之密精密机械股份有限公司,佛山,1-2.5万,Hadoop/Hive/Kylin/Spark/ElasticSearch；2.大数据或数据仓库、Java开发经验，有大数据服务架构思维；3.具有海量数据处理、优化经验；
大数据技术研究中心-大数据操作系统研发工程师社招,南湖实验室,嘉兴,1-2.5万,Java/Scala，熟悉多线程;大数据技术，Hadoop、Spark、Flink、Delta Lake等源码者优先；4.熟悉MySQL、MongoDB等数据库，熟悉SQL性能优化；Redis、Kafka、ActiveMQ、RabbitMQ、Zookeeper等；6.熟悉Linux、Windows服务器运行环境、服务器基本操作命令；
大数据研发工程师（合肥）,浙江宇石网络科技有限公司,合肥,1-2.5万,"4、参与公司实时计算、OLAP等集群的维护和任务的开发工作；2、数据仓库建设、商业数据分析、增长项目经验者优；3、熟悉Hive SQL语言，熟悉shell, java，python等至少一种脚本语言；4、对主流分布式存储和计算框架，实时计算、OLAP等技术有较深入理解；"
数字化项目开发工程师,三得利（中国）投资有限公司,上海,2.5-4万,"掌握至少一门编程语言（VB.net, C#, Java, Python）;4.熟悉HTML, JS, JSON, CSS, 正则表达式；5.熟悉Excel， Word， PowerPoint办公软件的使用；6.熟悉至少一种主流数据库（Oracle, SQL Server, MySQL等）；7.有RPA（KOFAX, Uipath）实施经验者和软件开发经验者优先。"
高级数据开发工程师（数据迁移低代码平台）,成都汇码科技有限公司,成都,1-2.5万,"3、熟悉数据库原理，熟悉常用的数据库（包括关系型、非关系型、流数据、文件数据等），例如mysql、oracle、sqlserver、db2、达梦、Hbase、人大金仓、Mongodb 等中的3个以上；4、有异构数据迁移经验，会用Kettle、DataX、Sqoop、Datastage、Streamsets、Airflow、dolphinScheduler中的2个以上；5、熟悉JAVA开发语言,了解Python、Shell，熟悉Linux操作系统；6、有系统架构经验，有分布式架构经验优先。职位职责：1、负责数据迁移低代码平台框架搭建、基础中间件封装外，也需要基于插件式封装；2、负责数据迁移平台类研发，包含异构数据迁移,适配,转换，调度等，基于数据处理做低代码平台；3、负责异构数据迁移平台技术方案，技术攻克，并协同团队推动实施落地；4、负责数据迁移低代码平台设计及研发，包括可拖拽式设计、任务编排、逻辑转换处理以及备份、失败、重试策略等。"
大数据可视化开发工程师,南京华飞数据技术有限公司,南京,1-2.5万,1、研究探索可视化相关前言工作2、负责数据可视化大屏界面开发3、负责数据可视化组件开发4、负责数据可视化动效开发可接受应届生，有相关经验的优先考虑。
大数据技术工程师,嘉环科技股份有限公司,南京,1-2.5万,1、负责公司华为大数据、分布式数据库，公安、政府、金融等行业项目交付；2、负责提供客户相关大数据开发技术支持、业务架构调优、集群调优等工作。
大数据开发工程师（后端）,东莞新能安科技有限公司,东莞,45-80万/年,岗位职责:1. 负责大数据云平台的规划及开发工作，牵头完成关键技术模型块设计和技术难点攻关，推动团队完成项目目标。2. 负责建立数据分析流程及体系。3. 研究主流大数据技术，对平台的先进性负责4. 配合开发业务部门，规范开发流程，输出开发文档 任职资格:1. 本科及以上学历，计算机、自动化、电子信息类专业，五年以上大数据平台开发经验2. 熟悉Linux，熟悉Java，C++，Python开发语言3. 精通各种大数据套件，Spring、kafka、hadoop、flink、hbase、SQL、MapReduce等4. 至少开发过一个大数据云平台的搭建。5. 了解神经网络和机器学习算法
大数据开发工程师,北京银丰新融科技开发有限公司,北京,1-2.5万,两年以上大数据开发经验熟悉使用Hadoop/Hive、Spark 等组件和编写py脚本能力能够维护调优和处理问题能力
大数据工程师,恩梯梯数据（中国）信息技术有限公司长春分公司,长春,1万以下,工作内容：1. 负责相关产品的大数据分析功能设计，其中包括数据分析建模、计算方法、数据优化、可视化等；2. 尤其对现有的专利大数和学术大数据进行数据清洗、分析、挖掘、深加工，协助应用产品开发；3.为相关大数据领域提供必要分析等技术支持；岗位要求：1、本科以上学历，硕士/有相关经验者优先；2、掌握大数据相关数据处理技术（如hive、SparkSQL、hbase、storm等），数据可视化；3、掌握海量数据统计与挖掘工具（至少熟练掌握一种分析工具，如R，SPSS，SAS，Python等）；4、熟练使用excel、PPT等工具进行数据分析，攥写数据分析报告；5、具有团队精神与敬业精神，学习钻研能力强，具有良好的协调沟通能力；
数据开发工程师,京北方信息技术股份有限公司杭州分公司,南京,1-2.5万,1.3年以上银行监管报送报表系统研发、数据处理研发经验，熟悉银行主要监管报送报表，包括主要报表的取数逻辑，熟悉省农信数据结构；2.熟悉MySQL、Oracle等主流数据库，能够完成sql、存储过程、shell脚本编写，能够独立完成帆软报表开发；3.本科及以上学历、4年以上工作经验、3年以上银行工作经验；   专科及以上学历、6年以上工作经验、4年以上银行工作经验（必须符合）；4.良好的沟通能力、团队合作精神，能接受高强度工作；
计算机、电子信息工程、软件工程（硕博高端人才）,广东省城乡规划设计研究院有限责任公司,广州,45-80万/年,1.该岗位由我司“广东省城市安全智能监测与智慧城市规划企业重点实验室”及“广东省博士工作站”“广东省博士后创新实践基地”联合招聘。2.研究课题与方向（1）城市安全智能感知系统优化与空间布局管控（2）区块链与城市安全大数据治理技术（3）城市安全智能监测评估预警技术研究（4）面向城市安全的智慧城市空间规划建设技术3.应聘条件（1）政治素质较高，品行端正，作风正派，严谨负责；（2）专业方向：城市规划、地理信息系统、计算机科学、自动化、电子信息工程、人工智能、软件工程、应用数学、应急管理、农业资源与环境、林学、能源经济、生态学或者具有理工科背景的相关专业；（3）具有博士研究生学历学位或具有高级职称的硕士研究生优秀人才；（4）具有较强的科研能力、敬业精神和团队协作能力；（5）博士应聘者通过后可进入“广东省博士工作站”或“广东省博士后创新实践基地”管理。4.福利待遇（1）聘期3-4年，期满考核后根据情况可续聘。年薪35-55万（含基本工资、绩效工资、公积金、企业年金等），另根据年终绩效考核评定结果有机会获得额外的激励性奖金；（2）基本福利：社保、员工意外险、健康体检、工会福利、生日福利、节假日福利、员工食堂、带薪年休假等；（3）培训学习：大咖讲座、学术论坛、学术中心交流、中高端人才专题培训等；（4）工作条件：每年提供不少于20万元的科研经费；提供良好的办公设施、场所及研究环境；（5）广东省博士后创新实践基地”出站时表现优秀者可优先推荐留粤规院工作，并连续计算司龄。
大数据开发工程师,昆山沪光汽车电器股份有限公司,昆山,1-2.5万,1.了解主流ETL工具及OLAP工具2.熟悉DB2、ORACLE、SQLSERVER、S4HANA中的一种或多种，具备基本的SQL优化能力3.了解数仓基本理论及维度建模理论4.熟悉hadoop 、 spark、? storm、? elasticsearch 、neo4j kafka 等框架组件，深刻理解分布式数据5.熟悉掌握java?、?python?、?scale?c++等语言中的一种
实时数据开发专家（高级/资深）,字节跳动,北京,4-8万,职位描述：1、负责抖音、直播、生活服务、电商等业务的实时数据仓库的开发与优化，建设数据中台为业务赋能；2、负责实时指标计算的数据建模、架构设计与开发；3、与PM、业务方合作，深入业务解决问题。职位要求：1、深刻理解计算机原理，有良好的数据结构和算法基础，扎实的编程能力；2、熟悉并行计算或者分布式计算原理，熟悉高并发、高稳定性、可线性扩展、海量数据的系统特点和技术方案；3、熟悉Kafka/Flink/Druid/HBase/Doris 等实时计算引擎的开发和使用；4、善于沟通，对业务敏感，能快速理解业务背景，具备优秀的技术与业务结合能力；5、有大规模实时数仓落地经验者优先。
